die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
4,56,LW300,Pt,LW300,LW300,P,0.0005,0.03191870238474277,0.00050002,False,6,6
4,56,LW300,Pt,LW300,LW300,P,0.001,0.06383676636072254,0.00100004,False,6,6
4,56,LW300,Pt,LW300,LW300,N,0.0005,0.03191856116990119,0.00050002,False,6,6
4,56,LW300,Pt,LW300,LW300,N,0.001,0.0638365780742671,0.00100006,False,6,6
4,56,LW600,Pt,LW600,LW600,N,0.0005,0.06374093590983816,0.00050003,False,6,6
4,56,LW600,Pt,LW600,LW600,N,0.001,0.1274804626132363,0.001,False,6,6
4,56,LW600,Pt,LW600,LW600,P,0.0005,0.0637408623604415,0.00050004,False,6,6
4,56,LW600,Pt,LW600,LW600,P,0.001,0.12748025961690154,0.00100002,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R0,P,0.0005,0.0004731785724251248,0.0005,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R0,P,0.001,0.0009462600596466583,0.00100004,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R90,P,0.0005,0.00047393760219865754,0.00050002,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R90,P,0.001,0.0009476074845934722,0.00100002,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R0,N,0.0005,0.0004732712446649166,0.00050002,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R0,N,0.001,0.0009463512608985168,0.00100001,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R90,N,0.0005,0.0004739214213313923,0.00050002,False,6,6
4,56,GC20_SC300,Pt,GC20,GC20_L_R90,N,0.001,0.0009475589419916764,0.0010000299999999998,False,6,6
4,56,GC20_SC300,Pt,SC300,SC,P,0.0005,0.03153709428214746,0.00050003,False,6,6
4,56,GC20_SC300,Pt,SC300,SC,P,0.001,0.06307343836044899,0.0010000299999999998,False,6,6
4,56,GC20_SC300,Pt,SC300,SC,N,0.0005,0.03153716488956826,0.00050002,False,6,6
4,56,GC20_SC300,Pt,SC300,SC,N,0.001,0.06307335304314887,0.00100001,False,6,6
4,56,LW300,Ag,LW300,LW300,P,0.0005,0.0070158960702545875,0.00050002,False,6,6
4,56,LW300,Ag,LW300,LW300,P,0.001,0.013450916657542531,0.00100002,False,6,6
4,56,LW300,Ag,LW300,LW300,N,0.0005,0.007017453846475849,0.00050004,False,6,6
4,56,LW300,Ag,LW300,LW300,N,0.001,0.012892042741092801,0.0010000299999999998,False,6,6
4,56,LW600,Ag,LW600,LW600,N,0.0005,0.02054508840868665,0.00050004,False,6,6
4,56,LW600,Ag,LW600,LW600,N,0.001,0.0361419513996185,0.00100004,False,6,6
4,56,LW600,Ag,LW600,LW600,P,0.0005,0.020527161478744706,0.00050001,False,6,6
4,56,LW600,Ag,LW600,LW600,P,0.001,0.036123530217731,0.0010000299999999998,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R0,P,0.0005,0.00023085684623687052,0.0005000499999999999,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R0,P,0.001,0.0004627183772321187,0.0010000500000000002,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R90,P,0.0005,-2.8594534433532088e-05,0.00050004,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R90,P,0.001,-5.762301030735905e-05,0.0010000299999999998,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R0,N,0.0005,0.00023054205481916508,0.00050004,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R0,N,0.001,0.0004640790410703314,0.00100002,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R90,N,0.0005,-2.8853428309775806e-05,0.00050004,False,6,6
4,56,GC20_SC300,Ag,GC20,GC20_L_R90,N,0.001,-5.8015764085524235e-05,0.00100002,False,6,6
4,56,GC20_SC300,Ag,SC300,SC,P,0.0005,0.02091203664553965,0.00050002,False,6,6
4,56,GC20_SC300,Ag,SC300,SC,P,0.001,0.03983650528648208,0.00100001,False,6,6
4,56,GC20_SC300,Ag,SC300,SC,N,0.0005,0.020911739505977148,0.00050004,False,6,6
