die,block,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column
3,1,LW300,Ag,LW300,LW300,P,0.001,0.0008923644374370341,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,P,0.0005,0.00044608881099473673,0.0005,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.001,0.0008925703757256835,0.001,False,1,1
3,1,LW300,Ag,LW300,LW300,N,0.0005,0.0004458711048038787,0.00049996,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,-0.0004550147648199155,0.00100002,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,-0.00022706167311380924,0.00049998,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,0.0005442228184995407,0.001,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,0.00027226512747236946,0.00049996,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,-0.0004549103246878147,0.001,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,-0.00022770155279639868,0.00050001,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,0.0005443463814727305,0.00099999,False,1,1
3,1,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,0.00027237545155557456,0.00050001,False,1,1
3,1,GC20_SC300,Ag,SC,SC,P,0.001,0.9378886745128847,0.00013008,True,1,1
3,1,GC20_SC300,Ag,SC,SC,P,0.0005,0.9378886583320192,0.00013005999999999998,True,1,1
3,1,GC20_SC300,Ag,SC,SC,N,0.001,0.9379224145595044,0.00013011,True,1,1
3,1,GC20_SC300,Ag,SC,SC,N,0.0005,0.9379213922230001,0.00013009,True,1,1
3,2,LW300,Ag,LW300,LW300,P,0.001,0.975762371830845,0.00013885999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,P,0.0005,0.9757630837889286,0.00013886999999999998,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.001,0.9757633191469728,0.00013891,True,1,2
3,2,LW300,Ag,LW300,LW300,N,0.0005,0.9757655785841968,0.00013890000000000002,True,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,9.84237920966894e-06,0.00099999,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,4.72039977340123e-06,0.00049998,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,8.85387542415145e-06,0.00100001,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,4.527700374736362e-06,0.0004999900000000001,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,1.0014484779468861e-05,0.001,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,5.222006605040314e-06,0.0005,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,8.96861247068473e-06,0.001,False,1,2
3,2,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,4.295284306117667e-06,0.00049997,False,1,2
3,2,GC20_SC300,Ag,SC,SC,P,0.001,0.0007504817824842007,0.001,False,1,2
3,2,GC20_SC300,Ag,SC,SC,P,0.0005,0.0003751592514205286,0.00050002,False,1,2
3,2,GC20_SC300,Ag,SC,SC,N,0.001,0.0007505112022397221,0.00100002,False,1,2
3,2,GC20_SC300,Ag,SC,SC,N,0.0005,0.00037513865759166364,0.0005,False,1,2
3,3,LW300,Ag,LW300,LW300,P,0.001,0.002963600543431359,0.00100001,False,1,3
3,3,LW300,Ag,LW300,LW300,P,0.0005,0.00199533019477368,0.00050001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.001,0.0035724041382635997,0.0009999800000000001,False,1,3
3,3,LW300,Ag,LW300,LW300,N,0.0005,0.002936671170214888,0.0004999900000000001,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,7.652078411104143e-06,0.00099999,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,3.823097229999936e-06,0.00049998,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,7.88449447972284e-06,0.00099999,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,3.7024762323623856e-06,0.0004999900000000001,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,7.332874063697454e-06,0.00100001,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,4.055513298618632e-06,0.00050002,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,7.310809247056438e-06,0.00100002,False,1,3
3,3,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,3.596565112485511e-06,0.00050003,False,1,3
3,3,GC20_SC300,Ag,SC,SC,P,0.001,0.0009703194346297416,0.00099997,False,1,3
3,3,GC20_SC300,Ag,SC,SC,P,0.0005,0.0004854392049923236,0.00049998,False,1,3
3,3,GC20_SC300,Ag,SC,SC,N,0.001,0.0009710534575299993,0.001,False,1,3
3,3,GC20_SC300,Ag,SC,SC,N,0.0005,0.00048534506177465525,0.00050001,False,1,3
3,4,LW300,Ag,LW300,LW300,P,0.001,0.0009271783051332282,0.00100002,False,1,4
3,4,LW300,Ag,LW300,LW300,P,0.0005,0.00046361415935880723,0.00050002,False,1,4
3,4,LW300,Ag,LW300,LW300,N,0.001,0.0009276549051726741,0.00100002,False,1,4
3,4,LW300,Ag,LW300,LW300,N,0.0005,0.00046373036739311656,0.00050003,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R0,P,0.001,9.951232305097949e-06,0.00099999,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R0,P,0.0005,4.799833113308885e-06,0.0004999900000000001,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R90,P,0.001,8.774442084243793e-06,0.001,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R90,P,0.0005,4.327646037191155e-06,0.00049996,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R0,N,0.001,9.97035514618683e-06,0.00099999,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R0,N,0.0005,5.019010291942972e-06,0.00049997,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R90,N,0.001,8.778855047571998e-06,0.00099998,False,1,4
3,4,GC20_SC300,Ag,GC,GC20_L_R90,N,0.0005,4.339413939399697e-06,0.0004999900000000001,False,1,4
3,4,GC20_SC300,Ag,SC,SC,P,0.001,0.0011668022138546555,0.001,False,1,4
3,4,GC20_SC300,Ag,SC,SC,P,0.0005,0.0005831922266631262,0.0005,False,1,4
3,4,GC20_SC300,Ag,SC,SC,N,0.001,0.0011666359922359597,0.00100002,False,1,4
3,4,GC20_SC300,Ag,SC,SC,N,0.0005,0.0005833540353184936,0.0004999900000000001,False,1,4
3,5,LW300,Ag,LW300,LW300,P,0.001,0.000742253076864878,0.00100002,False,1,5
3,5,LW300,Ag,LW300,LW300,P,0.0005,0.00037083454735888956,0.00050001,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.001,0.0007420294867229157,0.0009999800000000001,False,1,5
3,5,LW300,Ag,LW300,LW300,N,0.0005,0.0003709654652709596,0.0005,False,1,5
