die,block,pin_variation,curr_variation,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,structure,material
3,1,,,LW300,LW300,P,0.001,0.06980970834819,0.00100006,False,1,1,LW300,Pt
3,1,,,LW300,LW300,N,0.001,0.06980968481238559,0.0010000299999999998,False,1,1,LW300,Pt
3,1,,,LW600,LW600,N,0.001,0.1381031445616261,0.00100005,False,1,1,LW600,Pt
3,1,,,LW600,LW600,P,0.001,0.13810331813818366,0.00100007,False,1,1,LW600,Pt
3,1,,,SC,SC,P,0.001,0.07597450043866763,0.0010000500000000002,False,1,1,GC20_SC300,Pt
3,1,,,SC,SC,N,0.001,0.07597441217940107,0.00100007,False,1,1,GC20_SC300,Pt
3,1,,,GC,GC20_L_R0,P,5e-05,5.122714930155745e-05,5e-05,False,1,1,GC20_SC300,Pt
3,1,,,GC,GC20_L_R90,P,5e-05,5.1174193741619e-05,5.0010000000000004e-05,False,1,1,GC20_SC300,Pt
3,1,,,GC,GC20_L_R0,N,5e-05,5.099179125738661e-05,5.002e-05,False,1,1,GC20_SC300,Pt
3,1,,,GC,GC20_L_R90,N,5e-05,5.119037460715575e-05,4.999e-05,False,1,1,GC20_SC300,Pt
3,1,,,LW300,LW300,P,0.001,0.07778027767762945,0.00100005,False,1,1,LW300,Pt_Cl
3,1,,,LW300,LW300,N,0.001,0.07778015411465626,0.00100003,False,1,1,LW300,Pt_Cl
3,1,,,LW600,LW600,N,0.001,0.1383457854662762,0.00100004,False,1,1,LW600,Pt_Cl
3,1,,,LW600,LW600,P,0.001,0.13834573839466738,0.00100001,False,1,1,LW600,Pt_Cl
3,1,,,SC,SC,P,0.001,0.06883809297332955,0.00100004,False,1,1,GC20_SC300,Pt_Cl
3,1,,,SC,SC,N,0.001,0.06883792086775975,0.00100005,False,1,1,GC20_SC300,Pt_Cl
3,1,,,GC,GC20_L_R0,P,5e-05,5.1281575849271945e-05,5.0010000000000004e-05,False,1,1,GC20_SC300,Pt_Cl
3,1,,,GC,GC20_L_R90,P,5e-05,5.130805362924116e-05,5e-05,False,1,1,GC20_SC300,Pt_Cl
3,1,,,GC,GC20_L_R0,N,5e-05,5.113300608388911e-05,4.999e-05,False,1,1,GC20_SC300,Pt_Cl
3,1,,,GC,GC20_L_R90,N,5e-05,5.121391041157283e-05,5.0010000000000004e-05,False,1,1,GC20_SC300,Pt_Cl
3,1,,,LW300,LW300,P,0.001,0.0008958109617963607,0.00100005,False,1,1,LW300,Ag
3,1,,,LW300,LW300,N,0.001,0.0008961639988626169,0.00100005,False,1,1,LW300,Ag
3,1,,,LW600,LW600,N,0.001,0.002045214332235688,0.0010000500000000002,False,1,1,LW600,Ag
3,1,,,LW600,LW600,P,0.001,0.002045390850768816,0.00100004,False,1,1,LW600,Ag
