die,block,structure,material,timestamp,config,force_I_setting,v_measure,i_measure,smu_status
4,56,LW300,Pt,2025-01-07 12:37:46.599,LW300_P,0.000100000,0.006468905252404364,0.00010002,N
4,56,LW300,Pt,2025-01-07 12:37:47.091,LW300_P,-0.000100000,-0.006362553534798146,-0.00010002,N
4,56,LW300,Pt,2025-01-07 12:37:47.567,LW300_P,0.000500000,0.03211795479514365,0.00049994,N
4,56,LW300,Pt,2025-01-07 12:37:48.038,LW300_P,-0.000500000,-0.032014427556845096,-0.0005,N
4,56,LW300,Pt,2025-01-07 12:37:48.562,LW300_N,0.000100000,0.006390527054354599,9.998e-05,N
4,56,LW300,Pt,2025-01-07 12:37:49.034,LW300_N,-0.000100000,-0.006440571505138189,-0.00010004,N
4,56,LW300,Pt,2025-01-07 12:37:49.496,LW300_N,0.000500000,0.03204038527154428,0.00049996,N
4,56,LW300,Pt,2025-01-07 12:37:49.967,LW300_N,-0.000500000,-0.032092416856000075,-0.00050004,N
4,56,LW600,Pt,2025-01-07 12:37:52.440,LW600_N,0.000100000,0.01278657367941246,0.00010006,N
4,56,LW600,Pt,2025-01-07 12:37:52.917,LW600_N,-0.000100000,-0.012837285654196924,-0.00010002,N
4,56,LW600,Pt,2025-01-07 12:37:53.387,LW600_N,0.000500000,0.06400916462598158,0.00049998,N
4,56,LW600,Pt,2025-01-07 12:37:53.853,LW600_N,-0.000500000,-0.06406391041595635,-0.00050002,N
4,56,LW600,Pt,2025-01-07 12:37:54.407,LW600_P,0.000100000,0.012864629142840657,0.00010006,N
4,56,LW600,Pt,2025-01-07 12:37:54.876,LW600_P,-0.000100000,-0.012759566893403528,-0.00010002,N
4,56,LW600,Pt,2025-01-07 12:37:55.345,LW600_P,0.000500000,0.06408640994464221,0.00049998,N
4,56,LW600,Pt,2025-01-07 12:37:55.832,LW600_P,-0.000500000,-0.06398703782270151,-0.00050004,N
4,56,GC20_SC300,Pt,2025-01-07 12:37:58.260,GC20_L_R0_P,0.000100000,0.00014515853416364018,9.998e-05,N
4,56,GC20_SC300,Pt,2025-01-07 12:37:58.729,GC20_L_R0_P,-0.000100000,-4.4564578644256346e-05,-0.00010006,N
4,56,GC20_SC300,Pt,2025-01-07 12:37:59.234,GC20_L_R0_P,0.000500000,0.0005268984545841988,0.00049998,N
4,56,GC20_SC300,Pt,2025-01-07 12:37:59.707,GC20_L_R0_P,-0.000500000,-0.00042444307751171676,-0.0005,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:00.250,GC20_L_R90_P,0.000100000,2.4106585366367143e-05,0.00010006,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:00.738,GC20_L_R90_P,-0.000100000,-0.00016748824121490534,-0.00010004,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:01.213,GC20_L_R90_P,0.000500000,0.0004039034816301965,0.00049996,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:01.711,GC20_L_R90_P,-0.000500000,-0.0005488363221063165,-0.0005,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:02.227,GC20_L_R0_N,0.000100000,7.304021151854701e-05,0.00010002,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:02.739,GC20_L_R0_N,-0.000100000,-0.00011785400892524422,-0.0001,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:03.209,GC20_L_R0_N,0.000500000,0.0004529981075138647,0.00049996,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:03.684,GC20_L_R0_N,-0.000500000,-0.0004979839320309194,-0.00050002,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:04.231,GC20_L_R90_N,0.000100000,0.00017651745903289568,0.00010002,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:04.694,GC20_L_R90_N,-0.000100000,-1.3721735106073093e-05,-0.00010002,N
4,56,GC20_SC300,Pt,2025-01-07 12:38:05.167,GC20_L_R90_N,0.000500000,0.0005581176993211127,0.00049996,N
