wafer_idx,die,block,block_idx_in_die,structure,material,alias,pin_config,pol,force_current,meanV,meanI,hit_comp,block_row,block_column,event_counter,__pin_variation_object,__curr_variation_object
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,-3.308218537253929e-09,9.95e-06,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,4.936597217257708e-07,4.999e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,9.314473081556984e-07,9.999e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.5747158151102325e-06,0.00049974,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1419602810762861e-05,0.0009996699999999998,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,1.793789606866526e-07,9.97e-06,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,3.5581728267352657e-07,4.9999999999999996e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.197942690323374e-06,0.00010004,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.703368758225659e-06,0.0004997199999999999,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1517011467693115e-05,0.00099965,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,1.44826455964224e-07,9.950000000000001e-06,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,8.66018097085567e-07,4.9999999999999996e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,1.3596778188113378e-06,0.00010001,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.777619885395136e-06,0.00049975,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1420337970437809e-05,0.0009996599999999999,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.2497714474069872e-07,9.999999999999999e-06,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,5e-05,2.8450679420383114e-07,5.0010000000000004e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0001,9.410043839299866e-07,9.999e-05,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.0005,5.603754622270569e-06,0.00049973,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,0.001,1.1239121110563791e-05,0.00099965,False,19,12,1,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,1e-05,-4.1904101471881974e-08,9.94e-06,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,5e-05,4.796916879018104e-07,4.9999999999999996e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0001,1.1273673615286223e-06,9.998e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.0005,5.6566861188666335e-06,0.00049975,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,P,0.001,1.1261175900812148e-05,0.0009996599999999999,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,1e-05,5.8077614320679714e-08,9.950000000000001e-06,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,5e-05,5.179199909989657e-07,4.9999999999999996e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0001,1.1457463534022549e-06,0.00010003,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.0005,5.57324549576034e-06,0.00049971,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,P,0.001,1.1307858540171178e-05,0.0009996599999999999,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,1e-05,4.958652007506056e-07,9.94e-06,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,5e-05,7.564793055187171e-07,4.9999999999999996e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0001,9.123331566071203e-07,9.999999999999999e-05,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.0005,5.681681547814772e-06,0.0004997199999999999,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R0,N,0.001,1.1354908759367677e-05,0.00099964,False,19,12,2,structure,material
unknown,13,322,17,GC20_SC300,Ag,GC20_SC300,GC20_L_R90,N,1e-05,1.0770089237948526e-07,9.93e-06,False,19,12,2,structure,material
