die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,design,material,structure
1,1,-19140.0,46380.0,1,6,1,1,1,AGCL_whole_wafer,Pt,LW300
1,1,-18180.0,46380.0,1,6,1,2,1,AGCL_whole_wafer,Pt,LW600
1,1,-17220.0,46380.0,1,6,1,3,1,AGCL_whole_wafer,Pt,GC20_SC300
1,1,-19140.0,45900.0,1,6,2,1,1,AGCL_whole_wafer,Pt_Cl,LW300
1,1,-18180.0,45900.0,1,6,2,2,1,AGCL_whole_wafer,Pt_Cl,LW600
1,1,-17220.0,45900.0,1,6,2,3,1,AGCL_whole_wafer,Pt_Cl,GC20_SC300
1,1,-19140.0,45420.0,1,6,3,1,1,AGCL_whole_wafer,Ag,LW300
1,1,-18180.0,45420.0,1,6,3,2,1,AGCL_whole_wafer,Ag,LW600
1,1,-17220.0,45420.0,1,6,3,3,1,AGCL_whole_wafer,Ag,GC20_SC300
1,1,-19140.0,44940.0,1,6,4,1,1,AGCL_whole_wafer,Ag_Cl,LW300
1,1,-18180.0,44940.0,1,6,4,2,1,AGCL_whole_wafer,Ag_Cl,LW600
1,1,-17220.0,44940.0,1,6,4,3,1,AGCL_whole_wafer,Ag_Cl,GC20_SC300
1,1,-19140.0,44460.0,1,6,5,1,1,AGCL_whole_wafer,Pt_Ag,LW300
1,1,-18180.0,44460.0,1,6,5,2,1,AGCL_whole_wafer,Pt_Ag,LW600
1,1,-17220.0,44460.0,1,6,5,3,1,AGCL_whole_wafer,Pt_Ag,GC20_SC300
1,1,-19140.0,43980.0,1,6,6,1,1,AGCL_whole_wafer,Pt_Ag_Cl,LW300
1,1,-18180.0,43980.0,1,6,6,2,1,AGCL_whole_wafer,Pt_Ag_Cl,LW600
1,1,-17220.0,43980.0,1,6,6,3,1,AGCL_whole_wafer,Pt_Ag_Cl,GC20_SC300
1,2,-15300.0,46380.0,1,7,1,1,2,AGCL_whole_wafer,Pt,LW300
1,2,-14340.0,46380.0,1,7,1,2,2,AGCL_whole_wafer,Pt,LW600
1,2,-13380.0,46380.0,1,7,1,3,2,AGCL_whole_wafer,Pt,GC20_SC300
1,2,-15300.0,45900.0,1,7,2,1,2,AGCL_whole_wafer,Pt_Cl,LW300
1,2,-14340.0,45900.0,1,7,2,2,2,AGCL_whole_wafer,Pt_Cl,LW600
1,2,-13380.0,45900.0,1,7,2,3,2,AGCL_whole_wafer,Pt_Cl,GC20_SC300
