die,block,x,y,block_row,block_column,in_block_row,in_block_column,block_idx_in_die,material,structure,design
1,1,-4957.5,44620.0,1,10,1,1,1,unknown,cross_bridge,crossbridge2019
1,2,-830.0,44620.0,1,11,1,1,2,unknown,cross_bridge,crossbridge2019
1,3,3297.5,44620.0,1,12,1,1,3,unknown,cross_bridge,crossbridge2019
1,4,-17340.0,41470.0,2,7,1,1,4,unknown,cross_bridge,crossbridge2019
1,5,-13212.5,41470.0,2,8,1,1,5,unknown,cross_bridge,crossbridge2019
1,6,-9085.0,41470.0,2,9,1,1,6,unknown,cross_bridge,crossbridge2019
1,7,-4957.5,41470.0,2,10,1,1,7,unknown,cross_bridge,crossbridge2019
1,8,-830.0,41470.0,2,11,1,1,8,unknown,cross_bridge,crossbridge2019
1,9,3297.5,41470.0,2,12,1,1,9,unknown,cross_bridge,crossbridge2019
1,10,7425.0,41470.0,2,13,1,1,10,unknown,cross_bridge,crossbridge2019
1,11,11552.5,41470.0,2,14,1,1,11,unknown,cross_bridge,crossbridge2019
1,12,15680.0,41470.0,2,15,1,1,12,unknown,cross_bridge,crossbridge2019
1,13,-21467.5,38320.0,3,6,1,1,13,unknown,cross_bridge,crossbridge2019
1,14,-17340.0,38320.0,3,7,1,1,14,unknown,cross_bridge,crossbridge2019
1,15,-13212.5,38320.0,3,8,1,1,15,unknown,cross_bridge,crossbridge2019
1,16,-9085.0,38320.0,3,9,1,1,16,unknown,cross_bridge,crossbridge2019
1,17,-4957.5,38320.0,3,10,1,1,17,unknown,cross_bridge,crossbridge2019
1,18,-830.0,38320.0,3,11,1,1,18,unknown,cross_bridge,crossbridge2019
1,19,3297.5,38320.0,3,12,1,1,19,unknown,cross_bridge,crossbridge2019
1,20,7425.0,38320.0,3,13,1,1,20,unknown,cross_bridge,crossbridge2019
1,21,11552.5,38320.0,3,14,1,1,21,unknown,cross_bridge,crossbridge2019
1,22,15680.0,38320.0,3,15,1,1,22,unknown,cross_bridge,crossbridge2019
1,23,19807.5,38320.0,3,16,1,1,23,unknown,cross_bridge,crossbridge2019
1,24,-25595.0,35170.0,4,5,1,1,24,unknown,cross_bridge,crossbridge2019
1,25,-21467.5,35170.0,4,6,1,1,25,unknown,cross_bridge,crossbridge2019
1,26,-17340.0,35170.0,4,7,1,1,26,unknown,cross_bridge,crossbridge2019
1,27,-13212.5,35170.0,4,8,1,1,27,unknown,cross_bridge,crossbridge2019
1,28,-9085.0,35170.0,4,9,1,1,28,unknown,cross_bridge,crossbridge2019
1,29,-4957.5,35170.0,4,10,1,1,29,unknown,cross_bridge,crossbridge2019
1,30,-830.0,35170.0,4,11,1,1,30,unknown,cross_bridge,crossbridge2019
1,31,3297.5,35170.0,4,12,1,1,31,unknown,cross_bridge,crossbridge2019
1,32,7425.0,35170.0,4,13,1,1,32,unknown,cross_bridge,crossbridge2019
1,33,11552.5,35170.0,4,14,1,1,33,unknown,cross_bridge,crossbridge2019
1,34,15680.0,35170.0,4,15,1,1,34,unknown,cross_bridge,crossbridge2019
1,35,19807.5,35170.0,4,16,1,1,35,unknown,cross_bridge,crossbridge2019
1,36,23935.0,35170.0,4,17,1,1,36,unknown,cross_bridge,crossbridge2019
1,37,-29722.5,32020.0,5,4,1,1,37,unknown,cross_bridge,crossbridge2019
1,38,-25595.0,32020.0,5,5,1,1,38,unknown,cross_bridge,crossbridge2019
1,39,-21467.5,32020.0,5,6,1,1,39,unknown,cross_bridge,crossbridge2019
1,40,-17340.0,32020.0,5,7,1,1,40,unknown,cross_bridge,crossbridge2019
1,41,-13212.5,32020.0,5,8,1,1,41,unknown,cross_bridge,crossbridge2019
1,42,-9085.0,32020.0,5,9,1,1,42,unknown,cross_bridge,crossbridge2019
1,43,-4957.5,32020.0,5,10,1,1,43,unknown,cross_bridge,crossbridge2019
1,44,-830.0,32020.0,5,11,1,1,44,unknown,cross_bridge,crossbridge2019
1,45,3297.5,32020.0,5,12,1,1,45,unknown,cross_bridge,crossbridge2019
1,46,7425.0,32020.0,5,13,1,1,46,unknown,cross_bridge,crossbridge2019
1,47,11552.5,32020.0,5,14,1,1,47,unknown,cross_bridge,crossbridge2019
1,48,15680.0,32020.0,5,15,1,1,48,unknown,cross_bridge,crossbridge2019
1,49,19807.5,32020.0,5,16,1,1,49,unknown,cross_bridge,crossbridge2019
1,50,23935.0,32020.0,5,17,1,1,50,unknown,cross_bridge,crossbridge2019
1,51,28062.5,32020.0,5,18,1,1,51,unknown,cross_bridge,crossbridge2019
1,52,-33850.0,28870.0,6,3,1,1,52,unknown,cross_bridge,crossbridge2019
1,53,-29722.5,28870.0,6,4,1,1,53,unknown,cross_bridge,crossbridge2019
1,54,-25595.0,28870.0,6,5,1,1,54,unknown,cross_bridge,crossbridge2019
1,55,-21467.5,28870.0,6,6,1,1,55,unknown,cross_bridge,crossbridge2019
1,56,-17340.0,28870.0,6,7,1,1,56,unknown,cross_bridge,crossbridge2019
1,57,-13212.5,28870.0,6,8,1,1,57,unknown,cross_bridge,crossbridge2019
1,58,-9085.0,28870.0,6,9,1,1,58,unknown,cross_bridge,crossbridge2019
1,59,-4957.5,28870.0,6,10,1,1,59,unknown,cross_bridge,crossbridge2019
1,60,-830.0,28870.0,6,11,1,1,60,unknown,cross_bridge,crossbridge2019
1,61,3297.5,28870.0,6,12,1,1,61,unknown,cross_bridge,crossbridge2019
1,62,7425.0,28870.0,6,13,1,1,62,unknown,cross_bridge,crossbridge2019
1,63,11552.5,28870.0,6,14,1,1,63,unknown,cross_bridge,crossbridge2019
1,64,15680.0,28870.0,6,15,1,1,64,unknown,cross_bridge,crossbridge2019
1,65,19807.5,28870.0,6,16,1,1,65,unknown,cross_bridge,crossbridge2019
1,66,23935.0,28870.0,6,17,1,1,66,unknown,cross_bridge,crossbridge2019
1,67,28062.5,28870.0,6,18,1,1,67,unknown,cross_bridge,crossbridge2019
1,68,32190.0,28870.0,6,19,1,1,68,unknown,cross_bridge,crossbridge2019
1,69,-33850.0,25720.0,7,3,1,1,69,unknown,cross_bridge,crossbridge2019
1,70,-29722.5,25720.0,7,4,1,1,70,unknown,cross_bridge,crossbridge2019
1,71,-25595.0,25720.0,7,5,1,1,71,unknown,cross_bridge,crossbridge2019
1,72,-21467.5,25720.0,7,6,1,1,72,unknown,cross_bridge,crossbridge2019
1,73,-17340.0,25720.0,7,7,1,1,73,unknown,cross_bridge,crossbridge2019
1,74,-13212.5,25720.0,7,8,1,1,74,unknown,cross_bridge,crossbridge2019
1,75,-9085.0,25720.0,7,9,1,1,75,unknown,cross_bridge,crossbridge2019
1,76,-4957.5,25720.0,7,10,1,1,76,unknown,cross_bridge,crossbridge2019
1,77,-830.0,25720.0,7,11,1,1,77,unknown,cross_bridge,crossbridge2019
1,78,3297.5,25720.0,7,12,1,1,78,unknown,cross_bridge,crossbridge2019
1,79,7425.0,25720.0,7,13,1,1,79,unknown,cross_bridge,crossbridge2019
1,80,11552.5,25720.0,7,14,1,1,80,unknown,cross_bridge,crossbridge2019
1,81,15680.0,25720.0,7,15,1,1,81,unknown,cross_bridge,crossbridge2019
1,82,19807.5,25720.0,7,16,1,1,82,unknown,cross_bridge,crossbridge2019
1,83,23935.0,25720.0,7,17,1,1,83,unknown,cross_bridge,crossbridge2019
